seguro,simbolizacion,perdidas_normalizadas,hecho,tipo_combustible,aspiracion,num_puertas,estilo_cuerpo,ruedas_motrices,ubicacion_motor,ancho,altura,tipo_motor,num_de_cilindros,sistema_de_combustible,diametro_cilindro,recorrido_piston,caballos_fuerza,rpm_maximo,precio
no riesgoso,3,145.0,dodge,gas,turbo,two,hatchback,fwd,front,66.3,50.2,ohc,four,mfi,3.6,3.9,145.0,5000.0,12964.0
no riesgoso,3,150.0,mazda,gas,std,two,hatchback,rwd,front,65.7,49.6,rotor,two,4bbl,3.49,3.3,101.0,6000.0,10945.0
no riesgoso,3,150.0,mazda,gas,std,two,hatchback,rwd,front,65.7,49.6,rotor,two,4bbl,3.49,3.3,101.0,6000.0,11845.0
no riesgoso,3,150.0,mazda,gas,std,two,hatchback,rwd,front,65.7,49.6,rotor,two,4bbl,3.49,3.3,101.0,6000.0,13645.0
no riesgoso,3,150.0,mazda,gas,std,two,hatchback,rwd,front,65.7,49.6,rotor,two,mpfi,3.49,3.3,135.0,6000.0,15645.0
no riesgoso,3,142.0,mercedes-benz,gas,std,two,convertible,rwd,front,70.5,50.8,ohcv,eight,mpfi,3.46,3.1,155.0,4750.0,35056.0
no riesgoso,3,153.0,mitsubishi,gas,turbo,two,hatchback,fwd,front,65.4,49.4,ohc,four,spdi,3.17,3.46,116.0,5500.0,9959.0
no riesgoso,3,153.0,mitsubishi,gas,std,two,hatchback,fwd,front,65.4,49.4,ohc,four,2bbl,3.35,3.46,88.0,5000.0,8499.0
no riesgoso,3,168.65,mitsubishi,gas,turbo,two,hatchback,fwd,front,66.3,50.2,ohc,four,spdi,3.58,3.86,145.0,5000.0,12629.0
no riesgoso,3,168.65,mitsubishi,gas,turbo,two,hatchback,fwd,front,66.3,50.2,ohc,four,spdi,3.59,3.86,145.0,5000.0,14869.0
no riesgoso,3,168.65,mitsubishi,gas,turbo,two,hatchback,fwd,front,66.3,50.2,ohc,four,spdi,3.59,3.86,145.0,5000.0,14489.0
no riesgoso,3,194.0,nissan,gas,std,two,hatchback,rwd,front,67.9,49.7,ohcv,six,mpfi,3.43,3.27,160.0,5200.0,17199.0
no riesgoso,3,194.0,nissan,gas,turbo,two,hatchback,rwd,front,67.9,49.7,ohcv,six,mpfi,3.43,3.27,200.0,5200.0,19699.0
no riesgoso,3,168.65,plymouth,gas,turbo,two,hatchback,rwd,front,66.3,50.2,ohc,four,spdi,3.59,3.86,145.0,5000.0,12764.0
no riesgoso,3,186.0,porsche,gas,std,two,hatchback,rwd,front,68.3,50.2,ohc,four,mpfi,3.94,3.11,143.0,5500.0,22018.0
no riesgoso,3,168.65,porsche,gas,std,two,hardtop,rwd,rear,65.0,51.6,ohcf,six,mpfi,3.74,2.9,207.0,5900.0,32528.0
no riesgoso,3,168.65,porsche,gas,std,two,hardtop,rwd,rear,65.0,51.6,ohcf,six,mpfi,3.74,2.9,207.0,5900.0,34028.0
no riesgoso,3,168.65,porsche,gas,std,two,convertible,rwd,rear,65.0,51.6,ohcf,six,mpfi,3.74,2.9,207.0,5900.0,37028.0
no riesgoso,3,150.0,saab,gas,std,two,hatchback,fwd,front,66.5,56.1,ohc,four,mpfi,3.54,3.07,110.0,5250.0,11850.0
no riesgoso,3,150.0,saab,gas,std,two,hatchback,fwd,front,66.5,56.1,ohc,four,mpfi,3.49,3.3,110.0,5250.0,15040.0
no riesgoso,3,150.0,saab,gas,turbo,two,hatchback,fwd,front,66.5,56.1,dohc,four,mpfi,3.54,3.07,160.0,5500.0,18150.0
no riesgoso,3,197.0,toyota,gas,std,two,hatchback,rwd,front,67.7,52.0,dohc,six,mpfi,3.27,3.35,161.0,5200.0,16558.0
no riesgoso,3,197.0,toyota,gas,std,two,hatchback,rwd,front,67.7,52.0,dohc,six,mpfi,3.27,3.35,161.0,5200.0,15998.0
no riesgoso,3,168.65,volkswagen,gas,std,two,convertible,fwd,front,64.2,55.6,ohc,four,mpfi,3.19,3.4,90.0,5500.0,11595.0
no riesgoso,3,256.0,volkswagen,gas,std,two,hatchback,fwd,front,64.0,51.4,ohc,four,mpfi,3.19,3.4,90.0,5500.0,9980.0
