riesgoso,simbolizacion,perdidas_normalizadas,hecho,tipo_combustible,aspiracion,num_puertas,estilo_cuerpo,ruedas_motrices,ubicacion_motor,rueda_base,largo,ancho,altura,peso_en_vacío,tipo_motor,num_de_cilindros,tamanio_motor,sistema_de_combustible,diametro_cilindro,recorrido_piston,relacion_compresion,caballos_fuerza,rpm_maximo,consumo_ciudad_mpg,consumo_carretera_mpg,precio
,0,85,subaru,gas,turbo,four,wagon,4wd,front,96.90,173.60,65.40,54.90,2.650,ohcf,four,108,mpfi,"3,62","2,64","7,70",111,4.800,23,23,"11.694,00"
,1,87,toyota,gas,std,two,hatchback,fwd,front,95.70,158.70,63.60,54.50,1.985,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,35,39,"5.348,00"
,1,87,toyota,gas,std,two,hatchback,fwd,front,95.70,158.70,63.60,54.50,2.040,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,31,38,"6.338,00"
,1,74,toyota,gas,std,four,hatchback,fwd,front,95.70,158.70,63.60,54.50,2.015,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,31,38,"6.488,00"
,0,77,toyota,gas,std,four,wagon,fwd,front,95.70,169.70,63.60,59.10,2.280,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,31,37,"6.918,00"
,0,81,toyota,gas,std,four,wagon,4wd,front,95.70,169.70,63.60,59.10,2.290,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,27,32,"7.898,00"
,0,91,toyota,gas,std,four,wagon,4wd,front,95.70,169.70,63.60,59.10,3.110,ohc,four,92,2bbl,"45,415,00","45,354,00","9,00",62,4.800,27,32,"8.778,00"
,0,91,toyota,gas,std,four,sedan,fwd,front,95.70,166.30,64.40,53.00,2.081,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,30,37,"6.938,00"
,0,91,toyota,gas,std,four,hatchback,fwd,front,95.70,166.30,64.40,52.80,2.109,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,30,37,"7.198,00"
,0,91,toyota,diesel,std,four,sedan,fwd,front,95.70,166.30,64.40,53.00,2.275,ohc,four,110,idi,"3,27","3,35","22,50",56,4.500,34,36,"7.898,00"
,0,91,toyota,diesel,std,four,hatchback,fwd,front,95.70,166.30,64.40,52.80,2.275,ohc,four,110,idi,"3,27","3,35","22,50",56,4.500,38,47,"7.788,00"
,0,91,toyota,gas,std,four,sedan,fwd,front,95.70,166.30,64.40,53.00,2.094,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,38,47,"7.738,00"
,0,91,toyota,gas,std,four,hatchback,fwd,front,95.70,166.30,64.40,52.80,2.122,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,28,34,"8.358,00"
,0,91,toyota,gas,std,four,sedan,fwd,front,95.70,166.30,64.40,52.80,2.140,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,28,34,"9.258,00"
,1,168,toyota,gas,std,two,sedan,rwd,front,94.50,168.70,64.00,52.60,2.169,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,29,34,"8.058,00"
,1,168,toyota,gas,std,two,hatchback,rwd,front,94.50,168.70,64.00,52.60,2.204,ohc,four,98,2bbl,"3,19","45,354,00","9,00",70,4.800,29,34,"8.238,00"
,1,168,toyota,gas,std,two,sedan,rwd,front,94.50,168.70,64.00,52.60,2.265,dohc,four,98,mpfi,"3,24","45,507,00","9,40",112,6.600,26,29,"9.298,00"
,1,168,toyota,gas,std,two,hatchback,rwd,front,94.50,168.70,64.00,52.60,2.300,dohc,four,98,mpfi,"3,24","45,507,00","9,40",112,6.600,26,29,"9.538,00"
,2,134,toyota,gas,std,two,hardtop,rwd,front,98.40,176.20,65.60,52.00,2.540,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"8.449,00"
,2,134,toyota,gas,std,two,hardtop,rwd,front,98.40,176.20,65.60,52.00,2.536,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"9.639,00"
,2,134,toyota,gas,std,two,hatchback,rwd,front,98.40,176.20,65.60,52.00,2.551,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"9.989,00"
,2,134,toyota,gas,std,two,hardtop,rwd,front,98.40,176.20,65.60,52.00,2.679,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"11.199,00"
,2,134,toyota,gas,std,two,hatchback,rwd,front,98.40,176.20,65.60,52.00,2.714,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"11.549,00"
,2,134,toyota,gas,std,two,convertible,rwd,front,98.40,176.20,65.60,53.00,2.975,ohc,four,146,mpfi,"3,62","3,50","9,30",116,4.800,24,30,"17.669,00"
,-1,65,toyota,gas,std,four,sedan,fwd,front,102.40,175.60,66.50,54.90,2.326,ohc,four,122,mpfi,"3,31","3,54","8,70",92,4.200,29,34,"8.948,00"
,-1,65,toyota,diesel,turbo,four,sedan,fwd,front,102.40,175.60,66.50,54.90,2.480,ohc,four,110,idi,"3,27","3,35","22,50",73,4.500,30,33,"10.698,00"
,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.40,175.60,66.50,53.90,2.414,ohc,four,122,mpfi,"3,31","3,54","8,70",92,4.200,27,32,"9.988,00"
,-1,65,toyota,gas,std,four,sedan,fwd,front,102.40,175.60,66.50,54.90,2.414,ohc,four,122,mpfi,"3,31","3,54","8,70",92,4.200,27,32,"10.898,00"
,-1,65,toyota,gas,std,four,hatchback,fwd,front,102.40,175.60,66.50,53.90,2.458,ohc,four,122,mpfi,"3,31","3,54","8,70",92,4.200,27,32,"11.248,00"
,3,197,toyota,gas,std,two,hatchback,rwd,front,102.90,183.50,67.70,52.00,2.976,dohc,six,171,mpfi,"3,27","3,35","9,30",161,5.200,20,24,"16.558,00"
,3,197,toyota,gas,std,two,hatchback,rwd,front,102.90,183.50,67.70,52.00,3.016,dohc,six,171,mpfi,"3,27","3,35","9,30",161,5.200,19,24,"15.998,00"
,-1,90,toyota,gas,std,four,sedan,rwd,front,104.50,187.80,66.50,54.10,3.131,dohc,six,171,mpfi,"3,27","3,35","9,20",156,5.200,20,24,"15.690,00"
,-1,,toyota,gas,std,four,wagon,rwd,front,104.50,187.80,66.50,54.10,3.151,dohc,six,161,mpfi,"3,27","3,35","9,20",156,5.200,19,24,"15.750,00"
,2,122,volkswagen,diesel,std,two,sedan,fwd,front,97.30,171.70,65.50,55.70,2.261,ohc,four,97,idi,"45,294,00","3,40","23,00",52,4.800,37,46,"7.775,00"
,2,122,volkswagen,gas,std,two,sedan,fwd,front,97.30,171.70,65.50,55.70,2.209,ohc,four,109,mpfi,"3,19","3,40","9,00",85,5.250,27,34,"7.975,00"
,2,94,volkswagen,diesel,std,four,sedan,fwd,front,97.30,171.70,65.50,55.70,2.264,ohc,four,97,idi,"45,294,00","3,40","23,00",52,4.800,37,46,"7.995,00"
,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.30,171.70,65.50,55.70,2.212,ohc,four,109,mpfi,"3,19","3,40","9,00",85,5.250,27,34,"8.195,00"
,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.30,171.70,65.50,55.70,2.275,ohc,four,109,mpfi,"3,19","3,40","9,00",85,5.250,27,34,"8.495,00"
,2,94,volkswagen,diesel,turbo,four,sedan,fwd,front,97.30,171.70,65.50,55.70,2.319,ohc,four,97,idi,"45,294,00","3,40","23,00",68,4.500,37,42,"9.495,00"
,2,94,volkswagen,gas,std,four,sedan,fwd,front,97.30,171.70,65.50,55.70,2.300,ohc,four,109,mpfi,"3,19","3,40","10,00",100,5.500,26,32,"9.995,00"
,3,,volkswagen,gas,std,two,convertible,fwd,front,94.50,159.30,64.20,55.60,2.254,ohc,four,109,mpfi,"3,19","3,40","8,50",90,5.500,24,29,"11.595,00"
,3,256,volkswagen,gas,std,two,hatchback,fwd,front,94.50,165.70,64.00,51.40,2.221,ohc,four,109,mpfi,"3,19","3,40","8,50",90,5.500,24,29,"9.980,00"
,0,,volkswagen,gas,std,four,sedan,fwd,front,100.40,180.20,66.90,55.10,2.661,ohc,five,136,mpfi,"3,19","3,40","8,50",110,5.500,19,24,"13.295,00"
,0,,volkswagen,diesel,turbo,four,sedan,fwd,front,100.40,180.20,66.90,55.10,2.579,ohc,four,97,idi,"45,294,00","3,40","23,00",68,4.500,33,38,"13.845,00"
,0,,volkswagen,gas,std,four,wagon,fwd,front,100.40,183.10,66.90,55.10,2.563,ohc,four,109,mpfi,"3,19","3,40","9,00",88,5.500,25,31,"12.290,00"
,-2,103,volvo,gas,std,four,sedan,rwd,front,104.30,188.80,67.20,56.20,2.912,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,23,28,"12.940,00"
,-1,74,volvo,gas,std,four,wagon,rwd,front,104.30,188.80,67.20,57.50,3.034,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,23,28,"13.415,00"
,-2,103,volvo,gas,std,four,sedan,rwd,front,104.30,188.80,67.20,56.20,2.935,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,24,28,"15.985,00"
,-1,74,volvo,gas,std,four,wagon,rwd,front,104.30,188.80,67.20,57.50,3.042,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,24,28,"16.515,00"
,-2,103,volvo,gas,turbo,four,sedan,rwd,front,104.30,188.80,67.20,56.20,3.045,ohc,four,130,mpfi,"3,62","3,15","7,50",162,5.100,17,22,"18.420,00"
,-1,74,volvo,gas,turbo,four,wagon,rwd,front,104.30,188.80,67.20,57.50,3.157,ohc,four,130,mpfi,"3,62","3,15","7,50",162,5.100,17,22,"18.950,00"
,-1,95,volvo,gas,std,four,sedan,rwd,front,109.10,188.80,68.90,55.50,2.952,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,23,28,"16.845,00"
,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.10,188.80,68.80,55.50,3.049,ohc,four,141,mpfi,"3,78","3,15","8,70",160,5.300,19,25,"19.045,00"
,-1,95,volvo,gas,std,four,sedan,rwd,front,109.10,188.80,68.90,55.50,3.012,ohcv,six,173,mpfi,"3,58","2,87","8,80",134,5.500,18,23,"21.485,00"
,-1,95,volvo,diesel,turbo,four,sedan,rwd,front,109.10,188.80,68.90,55.50,3.217,ohc,six,145,idi,"45,294,00","3,40","23,00",106,4.800,26,27,"22.470,00"
,-1,95,volvo,gas,turbo,four,sedan,rwd,front,109.10,188.80,68.90,55.50,3.062,ohc,four,141,mpfi,"3,78","3,15","9,50",114,5.400,19,25,"22.625,00"
